date,site,keyword,count,average_price,min_price,max_price
2025-05-23,mercari,A BATHING APE,30,12733.2,3400,36999
2025-05-24,mercari,A BATHING APE,30,9658.0,800,35000
2025-05-26,mercari,A BATHING APE,30,17690.87,2999,78000
2025-06-06,mercari,A BATHING APE,30,17936.67,5980,68980
2025-06-09,mercari,A BATHING APE,2,154000.0,154000,154000
2025-08-06,mercari,A BATHING APE,1,130900.0,130900,130900
2025-09-06,mercari,A BATHING APE,3,96.67,70,150
2025-10-19,mercari,A BATHING APE,1,15400.0,15400,15400
2025-10-27,mercari,A BATHING APE,2,35000.0,35000,35000
2025-10-31,mercari,A BATHING APE,3,154000.0,154000,154000
2025-11-19,mercari,A BATHING APE,5,11308.0,8580,15400
2025-12-11,mercari,A BATHING APE,2,12000.0,12000,12000
2025-12-19,mercari,A BATHING APE,1,9350.0,9350,9350
2026-01-07,mercari,A BATHING APE,3,65000.0,65000,65000
2026-01-11,mercari,A BATHING APE,1,63800.0,63800,63800
2026-01-19,mercari,A BATHING APE,3,39600.0,39600,39600
2026-02-05,mercari,A BATHING APE,1,24200.0,24200,24200
2026-02-25,mercari,A BATHING APE,30,13687.03,2100,70000
2026-02-26,mercari,A BATHING APE,30,25683.33,2480,79800
2026-02-27,mercari,A BATHING APE,30,16781.57,3500,64000
2026-02-28,mercari,A BATHING APE,30,21200.6,1000,219990
2026-03-01,mercari,A BATHING APE,30,14897.87,1445,75000
2026-03-02,mercari,A BATHING APE,30,16200.47,1800,80000
2026-03-03,mercari,A BATHING APE,30,32565.77,2100,220000
2026-03-04,mercari,A BATHING APE,30,10130.6,800,26000
2026-03-05,mercari,A BATHING APE,30,28198.43,799,95120
2026-03-06,mercari,A BATHING APE,30,21355.67,300,77000
2026-03-07,mercari,A BATHING APE,30,24535.03,1800,69762
