date,site,keyword,count,average_price,min_price,max_price
2025-05-26,mercari,Arc'teryx,30,21696.3,3000,75800
2025-06-06,mercari,Arc'teryx,30,31643.77,1400,235600
2025-06-30,mercari,Arc'teryx,3,15400.0,15400,15400
2025-07-11,mercari,Arc'teryx,3,49500.0,49500,49500
2025-07-18,mercari,Arc'teryx,2,49500.0,49500,49500
2025-07-22,mercari,Arc'teryx,3,12100.0,12100,12100
2026-01-18,mercari,Arc'teryx,2,49500.0,49500,49500
2026-02-05,mercari,Arc'teryx,1,50600.0,50600,50600
2026-02-23,mercari,Arc'teryx,4,34100.0,34100,34100
2026-02-25,mercari,Arc'teryx,30,19732.4,850,59400
2026-02-26,mercari,Arc'teryx,30,30866.53,400,224900
2026-02-27,mercari,Arc'teryx,30,40712.47,3800,198900
2026-02-28,mercari,Arc'teryx,30,46757.57,2600,155800
2026-03-01,mercari,Arc'teryx,30,28634.07,1899,105179
2026-03-02,mercari,Arc'teryx,30,48506.6,1000,208000
2026-03-03,mercari,Arc'teryx,30,38522.73,1530,170365
2026-03-04,mercari,Arc'teryx,30,17419.43,2550,48258
2026-03-05,mercari,Arc'teryx,30,33700.57,400,152740
2026-03-06,mercari,Arc'teryx,30,36236.47,900,119427
2026-03-07,mercari,Arc'teryx,30,29315.97,888,106836
2026-03-08,mercari,Arc'teryx,30,26118.8,1640,71515
2026-03-09,mercari,Arc'teryx,30,42955.87,400,110000
2026-03-10,mercari,Arc'teryx,30,47566.83,1290,120000
2026-03-11,mercari,Arc'teryx,30,20570.03,2550,52000
2026-03-12,mercari,Arc'teryx,30,25719.2,700,87500
2026-03-29,mercari,Arc'teryx,2,34100.0,34100,34100
