date,site,keyword,count,average_price,min_price,max_price
2025-05-26,mercari,ISSEY MIYAKE,30,24421.97,2980,93000
2025-06-06,mercari,ISSEY MIYAKE,30,39052.3,2050,141017
2025-07-05,mercari,ISSEY MIYAKE,1,45000.0,45000,45000
2025-08-11,mercari,ISSEY MIYAKE,1,28000.0,28000,28000
2025-08-28,mercari,ISSEY MIYAKE,1,28000.0,28000,28000
2025-08-29,mercari,ISSEY MIYAKE,3,28000.0,28000,28000
2025-09-01,mercari,ISSEY MIYAKE,1,28000.0,28000,28000
2025-12-08,mercari,ISSEY MIYAKE,3,55000.0,55000,55000
2025-12-22,mercari,ISSEY MIYAKE,3,5000.0,5000,5000
2026-01-18,mercari,ISSEY MIYAKE,3,500.0,500,500
2026-02-25,mercari,ISSEY MIYAKE,30,25621.93,1000,120000
2026-02-26,mercari,ISSEY MIYAKE,30,16462.0,400,47000
2026-02-27,mercari,ISSEY MIYAKE,30,19206.3,3214,75000
2026-02-28,mercari,ISSEY MIYAKE,30,49154.93,800,102050
2026-03-01,mercari,ISSEY MIYAKE,30,23878.27,4555,46900
2026-03-02,mercari,ISSEY MIYAKE,30,15617.87,1700,33800
2026-03-03,mercari,ISSEY MIYAKE,30,19840.23,4200,78000
2026-03-04,mercari,ISSEY MIYAKE,30,24483.27,1390,97200
2026-03-05,mercari,ISSEY MIYAKE,30,26553.33,1000,168000
2026-03-06,mercari,ISSEY MIYAKE,30,26320.43,999,87196
2026-03-07,mercari,ISSEY MIYAKE,30,21960.87,1880,50000
2026-03-08,mercari,ISSEY MIYAKE,30,27399.47,5094,100000
2026-03-09,mercari,ISSEY MIYAKE,30,48728.63,2300,109150
2026-03-10,mercari,ISSEY MIYAKE,30,25809.33,1999,218000
2026-03-11,mercari,ISSEY MIYAKE,30,16194.47,6300,31160
2026-03-12,mercari,ISSEY MIYAKE,30,22148.97,5080,159000
2026-03-17,mercari,ISSEY MIYAKE,2,34100.0,34100,34100
