date,site,keyword,count,average_price,min_price,max_price
2025-06-06,mercari,NIKE Air Jordan,30,15714.93,2280,46800
2025-06-08,mercari,NIKE Air Jordan,3,30000.0,30000,30000
2025-07-02,mercari,NIKE Air Jordan,2,18700.0,18700,18700
2025-07-26,mercari,NIKE Air Jordan,3,17600.0,17600,17600
2025-08-19,mercari,NIKE Air Jordan,2,26800.0,26800,26800
2025-09-01,mercari,NIKE Air Jordan,1,4400.0,4400,4400
2025-12-20,mercari,NIKE Air Jordan,2,70000.0,70000,70000
2025-12-26,mercari,NIKE Air Jordan,2,17600.0,17600,17600
2026-02-14,mercari,NIKE Air Jordan,1,8800.0,8800,8800
2026-02-16,mercari,NIKE Air Jordan,1,8800.0,8800,8800
2026-02-21,mercari,NIKE Air Jordan,1,300.0,300,300
2026-02-25,mercari,NIKE Air Jordan,30,14073.6,6500,31000
2026-02-26,mercari,NIKE Air Jordan,30,35402.13,6250,444444
2026-02-27,mercari,NIKE Air Jordan,30,22879.8,4200,100000
2026-02-28,mercari,NIKE Air Jordan,30,12066.67,4500,30000
2026-03-01,mercari,NIKE Air Jordan,30,12692.7,2800,58000
2026-03-02,mercari,NIKE Air Jordan,30,25269.37,2880,218461
2026-03-03,mercari,NIKE Air Jordan,30,14548.6,1900,63500
2026-03-04,mercari,NIKE Air Jordan,30,26936.57,5000,84147
2026-03-05,mercari,NIKE Air Jordan,30,16987.27,1099,51000
2026-03-06,mercari,NIKE Air Jordan,30,12416.8,1100,37000
2026-03-07,mercari,NIKE Air Jordan,30,18780.33,1700,117600
2026-03-08,mercari,NIKE Air Jordan,30,14073.9,1777,69800
2026-03-09,mercari,NIKE Air Jordan,30,15152.87,2800,44444
2026-03-10,mercari,NIKE Air Jordan,30,24095.6,4000,250000
2026-03-11,mercari,NIKE Air Jordan,30,25807.7,5000,110000
2026-03-12,mercari,NIKE Air Jordan,30,15100.47,3680,48000
2026-03-14,mercari,NIKE Air Jordan,3,29700.0,29700,29700
