date,site,keyword,count,average_price,min_price,max_price
2025-05-26,mercari,Patagonia,30,7178.67,1300,48500
2025-06-06,mercari,Patagonia,30,9238.57,600,56400
2025-06-25,mercari,Patagonia,3,10780.0,10780,10780
2025-06-26,mercari,Patagonia,3,10780.0,10780,10780
2025-06-27,mercari,Patagonia,3,10780.0,10780,10780
2025-06-28,mercari,Patagonia,3,10780.0,10780,10780
2025-06-29,mercari,Patagonia,3,10780.0,10780,10780
2025-06-30,mercari,Patagonia,3,10780.0,10780,10780
2025-07-01,mercari,Patagonia,3,10780.0,10780,10780
2025-07-26,mercari,Patagonia,3,16500.0,16500,16500
2025-08-18,mercari,Patagonia,3,26400.0,26400,26400
2025-10-10,mercari,Patagonia,2,10000.0,10000,10000
2025-10-16,mercari,Patagonia,1,10000.0,10000,10000
2025-11-29,mercari,Patagonia,2,41800.0,41800,41800
2025-12-15,mercari,Patagonia,1,71400.0,71400,71400
2025-12-20,mercari,Patagonia,3,63700.0,63700,63700
