date,site,keyword,count,average_price,min_price,max_price
2025-05-24,mercari,Supreme,30,16917.5,777,76050
2025-05-26,mercari,Supreme,30,21503.53,2980,55800
2025-06-06,mercari,Supreme,2,55189.0,55189,55189
2025-08-10,mercari,Supreme,1,25300.0,25300,25300
2025-10-05,mercari,Supreme,1,1500.0,1500,1500
2025-12-09,mercari,Supreme,2,100.0,100,100
2025-12-27,mercari,Supreme,3,49.0,49,49
2026-01-06,mercari,Supreme,3,5300.0,5300,5300
2026-01-29,mercari,Supreme,3,70.0,70,70
2026-02-25,mercari,Supreme,30,11306.83,388,47777
2026-02-26,mercari,Supreme,30,19535.5,388,101919
2026-02-27,mercari,Supreme,30,14184.17,900,26666
2026-02-28,mercari,Supreme,30,11481.53,2499,52580
2026-03-01,mercari,Supreme,30,12515.2,300,36000
2026-03-02,mercari,Supreme,30,16375.0,3650,83000
2026-03-03,mercari,Supreme,30,15133.27,2199,89000
2026-03-04,mercari,Supreme,30,34839.53,333,180000
2026-03-05,mercari,Supreme,30,13896.53,1680,41100
2026-03-06,mercari,Supreme,30,17683.37,699,70000
