date,site,keyword,count,average_price,min_price,max_price
2025-05-26,mercari,THE NORTH FACE,30,11259.23,1888,78800
2025-06-06,mercari,THE NORTH FACE,30,10091.67,700,39900
2025-06-11,mercari,THE NORTH FACE,3,26400.0,26400,26400
2025-06-25,mercari,THE NORTH FACE,6,7040.0,3300,10780
2025-06-26,mercari,THE NORTH FACE,3,10780.0,10780,10780
2025-06-27,mercari,THE NORTH FACE,3,10780.0,10780,10780
2025-06-29,mercari,THE NORTH FACE,3,10780.0,10780,10780
2025-06-30,mercari,THE NORTH FACE,3,10780.0,10780,10780
2025-07-01,mercari,THE NORTH FACE,3,10780.0,10780,10780
2025-07-02,mercari,THE NORTH FACE,1,30800.0,30800,30800
2025-07-08,mercari,THE NORTH FACE,1,33000.0,33000,33000
