date,site,keyword,count,average_price,min_price,max_price
2025-05-26,mercari,Yohji Yamamoto,30,21314.27,3000,59999
2025-06-06,mercari,Yohji Yamamoto,30,44766.17,1990,400000
2025-06-07,mercari,Yohji Yamamoto,1,5600.0,5600,5600
2025-06-13,mercari,Yohji Yamamoto,2,66000.0,66000,66000
2025-06-15,mercari,Yohji Yamamoto,6,41800.0,29700,53900
2025-06-19,mercari,Yohji Yamamoto,3,51700.0,51700,51700
2025-06-20,mercari,Yohji Yamamoto,3,60500.0,60500,60500
2025-06-21,mercari,Yohji Yamamoto,3,66000.0,66000,66000
2025-06-22,mercari,Yohji Yamamoto,3,68200.0,68200,68200
2025-07-07,mercari,Yohji Yamamoto,2,60500.0,60500,60500
2025-07-21,mercari,Yohji Yamamoto,2,68200.0,68200,68200
2025-07-22,mercari,Yohji Yamamoto,1,55000.0,55000,55000
2025-08-06,mercari,Yohji Yamamoto,3,5600.0,5600,5600
2025-08-11,mercari,Yohji Yamamoto,3,5600.0,5600,5600
2025-08-12,mercari,Yohji Yamamoto,3,5600.0,5600,5600
2025-08-15,mercari,Yohji Yamamoto,3,5600.0,5600,5600
2025-08-16,mercari,Yohji Yamamoto,1,68200.0,68200,68200
2025-08-23,mercari,Yohji Yamamoto,2,1234.0,1234,1234
2025-08-24,mercari,Yohji Yamamoto,1,1234.0,1234,1234
2025-08-25,mercari,Yohji Yamamoto,1,68200.0,68200,68200
2025-08-30,mercari,Yohji Yamamoto,1,68200.0,68200,68200
2025-08-31,mercari,Yohji Yamamoto,6,54450.0,42900,66000
2025-09-12,mercari,Yohji Yamamoto,5,20920.0,7000,41800
2025-09-13,mercari,Yohji Yamamoto,2,42900.0,42900,42900
2025-09-16,mercari,Yohji Yamamoto,2,69000.0,69000,69000
2025-09-19,mercari,Yohji Yamamoto,6,24400.0,7000,41800
