date,site,keyword,count,average_price,min_price,max_price
2025-06-06,mercari,adidas Yeezy Boost,30,26302.57,5100,105000
2025-07-13,mercari,adidas Yeezy Boost,4,15325.0,9800,31900
2025-07-14,mercari,adidas Yeezy Boost,3,31346.67,30240,31900
2025-07-16,mercari,adidas Yeezy Boost,2,30240.0,30240,30240
2025-07-23,mercari,adidas Yeezy Boost,1,31900.0,31900,31900
2025-07-24,mercari,adidas Yeezy Boost,1,30240.0,30240,30240
2025-07-25,mercari,adidas Yeezy Boost,1,30240.0,30240,30240
2025-07-29,mercari,adidas Yeezy Boost,1,30240.0,30240,30240
2025-08-01,mercari,adidas Yeezy Boost,3,31900.0,31900,31900
2025-08-04,mercari,adidas Yeezy Boost,2,31900.0,31900,31900
2025-08-06,mercari,adidas Yeezy Boost,2,30240.0,30240,30240
2025-08-11,mercari,adidas Yeezy Boost,3,11000.0,11000,11000
2025-08-12,mercari,adidas Yeezy Boost,2,31070.0,30240,31900
2025-08-22,mercari,adidas Yeezy Boost,1,30240.0,30240,30240
2025-08-23,mercari,adidas Yeezy Boost,2,11000.0,11000,11000
2025-08-28,mercari,adidas Yeezy Boost,1,30240.0,30240,30240
2025-08-31,mercari,adidas Yeezy Boost,2,30240.0,30240,30240
2025-09-07,mercari,adidas Yeezy Boost,2,31900.0,31900,31900
2025-09-16,mercari,adidas Yeezy Boost,1,30240.0,30240,30240
2025-09-17,mercari,adidas Yeezy Boost,1,30240.0,30240,30240
2025-09-26,mercari,adidas Yeezy Boost,2,30240.0,30240,30240
2025-09-30,mercari,adidas Yeezy Boost,1,11000.0,11000,11000
2025-10-12,mercari,adidas Yeezy Boost,5,18696.0,11000,30240
2025-10-15,mercari,adidas Yeezy Boost,3,11000.0,11000,11000
2025-10-29,mercari,adidas Yeezy Boost,3,11000.0,11000,11000
2025-10-30,mercari,adidas Yeezy Boost,1,5000.0,5000,5000
