date,site,keyword,count,average_price,min_price,max_price
2025-06-06,rakuma,FRAY I.D,25,5855.08,1290,17999
2025-06-07,rakuma,FRAY I.D,25,3576.0,1200,6800
2025-06-08,rakuma,FRAY I.D,25,6146.76,799,11980
2025-06-09,rakuma,FRAY I.D,25,3608.0,1300,7200
2025-06-10,rakuma,FRAY I.D,25,5550.76,3399,13990
2025-06-11,rakuma,FRAY I.D,25,3755.6,1200,6600
2025-06-12,rakuma,FRAY I.D,25,5167.44,1800,17999
2025-06-13,rakuma,FRAY I.D,25,4040.0,2000,7400
2025-06-14,rakuma,FRAY I.D,25,4026.76,1455,9399
2025-06-16,rakuma,FRAY I.D,25,6321.6,999,28000
2025-06-18,rakuma,FRAY I.D,25,4642.32,699,11500
2025-06-19,rakuma,FRAY I.D,25,4220.0,1700,6100
2025-06-20,rakuma,FRAY I.D,25,6300.36,1099,23000
2025-06-23,rakuma,FRAY I.D,25,3844.0,1700,6000
2025-06-25,rakuma,FRAY I.D,25,4304.0,1400,9500
2025-06-26,rakuma,FRAY I.D,25,5766.4,1300,23000
2025-06-28,rakuma,FRAY I.D,25,6554.16,700,22000
